KB Number,Short Description,Knowledge Base,Category,Article Content,Author,Workflow State,Valid To,Created On
KB0010001,Reset AD Password,General IT Knowledge Base,User Account Management,"Press Ctrl+Alt+Delete and choose change a password. If locked out, contact IT Service Desk.",IT Admin,Published,2026-12-31 00:00:00,2019-06-01 00:00:00
KB0010002,VPN Troubleshooting,Enterprise Network & Connectivity Knowledge Base,Network,"Check internet connectivity, update VPN client, verify access, reboot and retry.",Network Team,Published,31-06-26,2022-08-07 00:00:00
KB0010003,Work from home policy,Human Resources Policies & Benefits Knowledge Base,HR Policies,Employees can work from home up to 3 days per week with manager approval.,HR Ops,Published,2027-01-01 00:00:00,2023-03-01 00:00:00
KB0010004,Raise incident in ServiceNow,ServiceNow Platform User Guide & How‑To Knowledge Base,How-To,"Go to Self Service > Incidents > Create New and fill impact, urgency and details.",SN Admin,Published,2026-11-10 00:00:00,2021-10-01 00:00:00
KB010005,Password Reset Procedure,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,"To reset your password: 1. Go to login page. 2. Click 'Forgot Password'. 3. Enter your email. 4. Check your email for reset link. 5. Click the link and set a new password. The password must be at least 12 characters with uppercase, lowercase, numbers and special characters. For additional help contact IT support.",Mike Chen,Draft,2026-04-08 00:00:00,2024-04-08 00:00:00
KB010006,Email Setup on Mobile Device,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,"Follow these steps to setup corporate email on your mobile device: 1. Open Settings. 2. Go to Accounts. 3. Add new account. 4. Enter email address and password. 5. Select Exchange/Office365. 6. Complete authentication. For iOS devices use Mail app, for Android use Outlook app. Ensure VPN is enabled for secure connection.",Lisa Anderson,Published,2026-04-25 00:00:00,2024-04-25 00:00:00
KB010007,Multi-Factor Authentication Setup,Information Security & Compliance Knowledge Base,Security,"MFA enhances security by requiring two forms of identification. Setup process: 1. Log into your account. 2. Navigate to Security settings. 3. Enable MFA. 4. Choose authentication method (app, SMS, or email). 5. Confirm your identity. 6. Save backup codes. Store backup codes in a safe place. MFA is required for all employees.",Mike Chen,Published,2026-05-26 00:00:00,2024-05-26 00:00:00
KB010008,VPN Access for Remote Workers,Enterprise Network & Connectivity Knowledge Base,Network,To connect to corporate VPN: 1. Download VPN client from company portal. 2. Install the application. 3. Launch VPN client. 4. Enter your network credentials. 5. Select appropriate server location. 6. Click Connect. Always use VPN when working outside the office. VPN must be connected before accessing any company resources.,John Smith,Published,2026-05-08 00:00:00,2024-05-08 00:00:00
KB010009,Software License Management,Business Applications & Productivity Knowledge Base,Applications,"All software licenses are managed centrally. To request new software: 1. Submit request through IT portal. 2. Provide business justification. 3. Wait for approval (typically 3-5 days). 4. Once approved, download from company store. 5. Enter your license key. Sharing licenses is prohibited. Unauthorized software installation may result in disciplinary action.",Mike Chen,Published,2026-09-10 00:00:00,2024-09-10 00:00:00
KB010010,Laptop Encryption and Security,Information Security & Compliance Knowledge Base,Security,All company laptops must have encryption enabled. Security requirements: 1. Enable BitLocker (Windows) or FileVault (Mac). 2. Set BIOS password. 3. Enable firewall. 4. Install antivirus software. 5. Keep OS and software updated. 6. Never store sensitive data on external drives. Non-compliance will be detected and addressed.,Lisa Anderson,Published,2026-03-20 00:00:00,2024-03-20 00:00:00
KB010011,Troubleshooting Slow Internet,IT Support & Troubleshooting Knowledge Base,Troubleshooting,If you experience slow internet: 1. Check signal strength (Wifi) or cable connection. 2. Restart your modem and router. 3. Run speed test at speedtest.net. 4. Check for background downloads. 5. Temporarily disable VPN to test. 6. Contact IT if issue persists. Typical speeds should be 50+ Mbps download and 10+ Mbps upload.,Jennifer Taylor,Draft,2026-04-23 00:00:00,2024-04-23 00:00:00
KB010012,Backup and Recovery Procedures,Operational Best Practices & Productivity Knowledge Base,Best Practices,Regular backups are essential: 1. Enable automatic backups to OneDrive. 2. Backup critical files daily. 3. Test recovery procedure monthly. 4. Keep recovery key in secure location. 5. Never backup to USB drives without encryption. 6. Report any data loss immediately. Backups are retained for 30 days.,Lisa Anderson,Published,2026-04-12 00:00:00,2024-04-12 00:00:00
KB010013,Conference Room Booking,Corporate Policies & Governance Knowledge Base,Policies,To book a conference room: 1. Open Outlook Calendar. 2. Select 'New Meeting'. 3. Click 'Room Finder'. 4. Choose location and time. 5. Select available room. 6. Add attendees. 7. Send invitation. Rooms require minimum 15 minutes notice. Cancel bookings if no longer needed. Repeat bookings must be renewed monthly.,Robert Brown,Published,2026-07-08 00:00:00,2024-07-08 00:00:00
KB010014,Incident Reporting Process,IT Support & Troubleshooting Knowledge Base,Troubleshooting,Report incidents immediately: 1. Log into ServiceNow portal. 2. Click 'Create Incident'. 3. Fill in affected service. 4. Describe the issue clearly. 5. Indicate urgency and impact. 6. Submit ticket. 7. Note your ticket number. Provide as much detail as possible. Response time is 1 hour for critical issues.,John Smith,Published,2026-01-10 00:00:00,2024-01-11 00:00:00
KB0010015,Windows OS Update and Patch Management,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,Updates and patches are critical for system security. Process: 1. Check for updates monthly. 2. Review patch notes before installing. 3. Schedule updates during maintenance windows. 4. Create system restore point before updates. 5. Restart system when prompted. 6. Verify system stability after update. Automatic updates are enabled by default. Do not disable Windows Update service.,Mike Chen,Published,2026-10-24 00:00:00,2024-10-24 00:00:00
KB0010016,Microsoft Teams Integration and Usage,Business Applications & Productivity Knowledge Base,Applications,Teams is our primary communication platform. Setup: 1. Download Teams from company portal. 2. Sign in with your corporate account. 3. Join your team channels. 4. Enable notifications. 5. Set up your profile with photo. For meetings: Use built-in meeting scheduler. Enable video and microphone. Use virtual background. Record important meetings with permission. Respect meeting etiquette and stay muted when not speaking.,Sarah Johnson,Published,2026-12-01 00:00:00,2024-12-01 00:00:00
KB0010017,OneDrive File Storage and Sync,Business Applications & Productivity Knowledge Base,Applications,OneDrive provides secure cloud storage. Getting started: 1. Sign in to OneDrive with corporate account. 2. Enable sync to your local drive. 3. Upload important files to cloud. 4. Share files securely using link sharing. 5. Set expiration dates for shared links. Never store confidential data on local drive only. Sync ensures backup of your critical documents.,David Wilson,Published,2026-05-30 00:00:00,2024-05-30 00:00:00
KB0010018,Antivirus and Malware Protection,Information Security & Compliance Knowledge Base,Security,"All systems must have active antivirus protection. Setup: 1. Install Windows Defender (pre-installed). 2. Enable real-time protection. 3. Configure scheduled scans (weekly). 4. Keep virus definitions updated (automatic). 5. Report suspicious files to IT. Do not disable antivirus software. If antivirus conflicts with other software, contact IT support for resolution.",Emily Davis,Published,2026-01-30 00:00:00,2024-01-31 00:00:00
KB0010019,Firewall Configuration and Management,Enterprise Network & Connectivity Knowledge Base,Network,Firewalls protect network from unauthorized access. Company firewall policy: 1. All traffic logged for security audit. 2. Certain ports are blocked by default. 3. VPN required for external connections. 4. Contact IT for firewall exceptions. 5. Never attempt to bypass firewall. 6. Suspicious traffic is blocked automatically. Firewall rules are monitored 24/7.,Robert Brown,Published,2026-10-27 00:00:00,2024-10-27 00:00:00
KB0010020,Remote Desktop Protocol Setup,Enterprise Network & Connectivity Knowledge Base,Network,RDP allows secure remote access. Setup guide: 1. Verify RDP is enabled on your device. 2. Obtain your device hostname. 3. Connect using RDP client. 4. Use VPN first for external connections. 5. Enable Network Level Authentication. 6. Log off when session ends. RDP sessions are logged for audit. Do not share RDP credentials.,Mike Chen,Published,2026-03-01 00:00:00,2024-03-01 00:00:00
KB0010021,Printer Setup and Troubleshooting,Endpoint Hardware & Device Management Knowledge Base,Hardware,"Adding network printers: 1. Go to Settings > Devices > Printers. 2. Click Add printer. 3. Search for your department printer. 4. Install printer driver if prompted. 5. Set as default printer. 6. Print test page. For issues: Check printer is online, restart printer, re-add printer driver. Contact IT if problem persists.",David Wilson,Published,2026-06-08 00:00:00,2024-06-08 00:00:00
KB0010022,Browser Security and Extension Management,Information Security & Compliance Knowledge Base,Security,Safe browsing practices: 1. Use Chrome or Edge (approved browsers). 2. Keep browser updated automatically. 3. Do not install unauthorized extensions. 4. Clear browser cache weekly. 5. Use strong passwords for accounts. 6. Enable two-factor authentication. 7. Report suspicious websites. Do not visit non-business websites on corporate device.,Jennifer Taylor,Published,2026-12-16 00:00:00,2024-12-16 00:00:00
KB0010023,Slack Channel Management and Etiquette,Business Applications & Productivity Knowledge Base,Applications,Slack best practices: 1. Use appropriate channels for conversations. 2. Check pinned messages for guidelines. 3. Use threads to keep discussions organized. 4. Set do-not-disturb status during focus time. 5. Keep profile information updated. 6. Use clear subject lines. 7. Avoid sensitive information in messages. Slack conversations are archived and monitored.,Mike Chen,Draft,2026-10-16 00:00:00,2024-10-16 00:00:00
KB0010024,Database Access and Connection Troubleshooting,Business Applications & Productivity Knowledge Base,Applications,"Accessing company databases: 1. Request access through IT portal. 2. Provide database name and reason. 3. Wait for approval (typically 2-3 days). 4. Use connection string provided. 5. Set connection timeout to 30 seconds. 6. Always close connections properly. For errors: Check network connectivity, verify credentials, contact database team.",Robert Brown,Archived,2026-08-24 00:00:00,2024-08-24 00:00:00
KB0010025,Time Tracking and Attendance System,Business Applications & Productivity Knowledge Base,Applications,Using the time tracking system: 1. Log in with your credentials. 2. Clock in at start of day. 3. Log breaks and lunch times. 4. Clock out at end of day. 5. Review weekly hours. 6. Submit timesheet for approval. Accurate time tracking is mandatory. Report discrepancies within 24 hours.,David Wilson,Archived,2026-09-08 00:00:00,2024-09-08 00:00:00
KB0010026,Certificate Installation and Management,Enterprise Network & Connectivity Knowledge Base,Network,SSL certificates for secure connections: 1. Download certificate from company portal. 2. Open certificate manager. 3. Import certificate to Trusted Root. 4. Verify certificate details. 5. Restart browser. 6. Test secured connection. Expired certificates will cause warnings. Contact IT before expiration date.,Jennifer Taylor,Published,2026-02-10 00:00:00,2024-02-11 00:00:00
KB0010027,DNS Settings and Resolution,Enterprise Network & Connectivity Knowledge Base,Network,"DNS configuration for network: 1. Primary DNS: 8.8.8.8. 2. Secondary DNS: 8.8.4.4. 3. Access Settings > Network > DNS settings. 4. Flush DNS cache occasionally. 5. If DNS fails, restart network adapter. 6. Contact IT for persistent issues. Incorrect DNS settings prevent internet access.",John Smith,Published,2026-10-30 00:00:00,2024-10-30 00:00:00
KB0010028,User Account Management and Access Control,Information Security & Compliance Knowledge Base,Security,Managing your user account: 1. Change password every 90 days. 2. Use strong passwords (12+ characters). 3. Never share your credentials. 4. Enable MFA on all accounts. 5. Review login activity regularly. 6. Report unauthorized access immediately. Account lockouts after 5 failed attempts. Contact IT help desk to unlock.,Sarah Johnson,Published,2026-01-22 00:00:00,2024-01-23 00:00:00
